old_issue_id,new_customer_question_id,issue_name
15981,770,UPDATED,"-нет установочных размеров на ПУ."
16029,771,UPDATED,"-гирокомпас"
14601,772,UPDATED,"-настил в водоподготовке"
17352,773,UPDATED,"Сварка рубки сек.613"
17384,774,UPDATED,"Расположение горловин"
23098,775,UPDATED,"Грузовой люк на траловой палубе 43-49шп. ПрБ."
10746,776,UPDATED,"- пары круговых огней на мачте п. 8, 9, 10  ч. 01701.427.500, лучи огней пересекают друг-друга."
12471,777,UPDATED,"-Изменение вентиляции салон-столовой."
10342,778,UPDATED,"-Испытания воздушных и измерительных трубопроводов"
17500,779,UPDATED,"Выпуск чертежа приемных решеток"
16045,780,UPDATED,"-корректировка чертежа"
14043,781,UPDATED,"-актуальность ч-жа"
10055,782,UPDATED,"-ИСУТС"
10940,783,UPDATED,"-Схема кантовки"
14497,784,UPDATED,"-как обойти трубу"
14538,786,UPDATED,"тех.вырез между  пом 215 и 218"
23283,787,UPDATED,"Доработка существующего вент канала"
17711,788,UPDATED,"Установка шлюпки"
16204,789,UPDATED,"Неправильные габариты в крайнем кормовом сечении (-6шп.+200)"
17390,790,UPDATED,"Тип сварки швеллера настила в морозильном трюме"
16186,791,UPDATED,"-корректировка ПДСП"
17748,792,UPDATED,"Размещение грелки в помещении №307"
9860,793,UPDATED,"Доп.вопрос к вопросу №6"
14659,794,UPDATED,"-нет возможности установить протектора"
17829,795,UPDATED,"Размещение оборудования в пом. ГРЩ (137)"
17761,796,UPDATED,"Перенос позиций из пом. 302 в пом. 303."
9870,797,UPDATED,"03070-810-001"
17619,798,UPDATED,"03070-891-001Э4"
17762,799,UPDATED,"Уточнение границ цистерн"
14508,800,UPDATED,"-корректировка чертежа в связи с заменой дверей"
10116,801,UPDATED,"- С-ма сигнализации утечек фреона"
10029,802,UPDATED,"03095.362155.5004СБ_Изм.А"
14519,803,UPDATED,"не установить на заказе"
14284,804,UPDATED,"Перенос приварного насыщения"
14629,805,UPDATED,"Монтаж щита управления ПУ"
17714,806,UPDATED,"Дверь поз.14 при открывании упирается в противопожарную захлопку."
14044,807,UPDATED,"-Откорректировать чертеж по выполненой работе на заказе."
10346,808,UPDATED,"-Замена автомата"
10105,809,UPDATED,"Настил РМУ."
14684,810,UPDATED,"Установка бактерецидных установок опреснителей"
10180,811,UPDATED,"-несоответствие с РКД"
11778,812,UPDATED,"-Покрытие трубопроводов"
11454,813,UPDATED,"Обезличенные чертежи изд.МСЧ"
11946,814,UPDATED,"Монтаж оборудования. Рабочие чертежи"
9965,815,UPDATED,"Согласование чертежа в РС"
14636,816,UPDATED,"Установка баллонов сжатого воздуха в МО"
17718,818,UPDATED,"Чертеж на установку цистерны кормового дейдвудного уплотнения 50л."
16057,819,UPDATED,"-"
8791,820,UPDATED,"Сварка и испытания ТЗК."
8783,821,UPDATED,"-"
11720,822,UPDATED,"Технические выреза"
14041,823,UPDATED,"Изменить РКД"
11731,824,UPDATED,"буксирный канат"
10328,825,UPDATED,"-Фундаменты под оборудование"
8541,826,UPDATED,"Замена размера уголка"
15568,827,UPDATED,"-Переделка фундамента"
10092,828,UPDATED,"-Мачты"
9872,829,UPDATED,"03070-810-001"
12070,830,UPDATED,"применим ли фундамент к зак. 404 и 405"
9898,831,UPDATED,"-Выбирание якорного троса (цепи)."
11884,832,UPDATED,"Уп-169  Схема расположения устройств измерения уровня цистерн."
14031,834,UPDATED,"Актуальность чертежа"
17713,836,UPDATED,"Крепление инсинератора"
14222,837,UPDATED,"в ПДСП и в РКД крышки якорного клюза разного исполнения"
15544,838,UPDATED,"Монтаж СПУ исправить чертеж"
11810,839,UPDATED,"Координаты приварного насыщения"
10062,840,UPDATED,"Вентиляция и кондиционирование от H&H"
10025,841,UPDATED,"КР  № 4520 от 31.01.2019"
11233,842,UPDATED,"Монтаж установки обеззараживания воды УФ излучением УОВ-3.0м-10К"
11831,843,UPDATED,"- Актуален чертеж ?"
13752,844,UPDATED,"-"
14325,845,UPDATED,"-изменение чертежа для сдачи"
14368,846,UPDATED,"- корректирвка"
14042,848,UPDATED,"-Проблема с высотой комингса"
15555,849,UPDATED,"-Координаты установки вент. крышки"
10785,850,UPDATED,"Комплектность оборудования судна"
14587,851,UPDATED,"TEST"
10051,852,UPDATED,"- ИСУТС корректировка мнемосхемы"
14658,853,UPDATED,"- Фундаменты в МО"
16091,854,UPDATED,"- Перенос вент. решеток"
12483,855,UPDATED,"Чертеж последней ревизии"
12474,856,UPDATED,"Установка насоса от фильтра-минирализатора MNF-250 Gefico"
10976,857,UPDATED,"Шп 74-75 ПБ изменение трассировки трубопровода"
10130,858,UPDATED,"-ЯШУ"
9956,859,UPDATED,"Корректировка поз.510 и поз.511"
11725,860,UPDATED,"О замене части болтов крепления подпятника баллера на призонные болты"
11944,861,UPDATED,"Резервная опреснительная установка"
17184,862,UPDATED,"Вопросы к альбому узлов зашивки фанерой. Отсутствие информации по ведомостям."
16067,863,UPDATED,"Исправить чертеж в соответствии с измененным оборудованием"
17582,864,UPDATED,"Установка подкреплений под пиллерс"
10098,865,UPDATED,"согласование узла сборки с РМ РС"
10975,866,UPDATED,"Координаты установки такелажа грузовых стрел."
11022,867,UPDATED,"-"
17715,868,UPDATED,"Установка GSM антенны."
9930,869,UPDATED,"- Расположение оборудования в РР"
10221,870,UPDATED,"Внесение изменений  в 01101-100-016 ведомость аварийного и противопожарного снабжения"
10017,871,UPDATED,"БП лага и эхолота"
11832,872,UPDATED,"-Проработка фундамента под Глушитель искрогаситель ГД и ДГ"
10042,873,UPDATED,"Ширма в пом.505"
10040,874,UPDATED,"Фундамент ПУС Консоль ЛБ"
8644,875,UPDATED,"Верхняя палуба. Установка деревянного настила"
10012,876,UPDATED,"-Вопросы по зав. 411."
9871,877,UPDATED,"03070-810-001"
10030,878,UPDATED,"Секция 315"
9874,879,UPDATED,"03070-880-1002"
10319,880,UPDATED,"- ИСУТС"
10085,881,UPDATED,"-Коректировка чертежа"
14656,882,UPDATED,"- Перепуск охлаждающей воды от ГД в днищевой кингстон ПрБ"
10232,883,UPDATED,"Замена муфт ROXTEC на аналог"
10216,884,UPDATED,"Доизоляционное насыщение"
14242,885,UPDATED,"-корректировка чертежа"
11168,886,UPDATED,"Корректировка чертежа"
14624,887,UPDATED,"Усиления соединения швелеров между собой ."
11450,888,UPDATED,"Корректировка чертежа"
14226,889,UPDATED,"-уточнение толщины деталей"
14640,890,UPDATED,"-труба ТЗК через фундамент СПУ"
14274,892,UPDATED,"вид Д-Д дублируется, нет координат ф-та под репитер гирокомпаса"
11945,893,UPDATED,"Корректировка чертежа"
15545,896,UPDATED,"-обновите"
17568,897,UPDATED,"Информация к чертежу"
10056,898,UPDATED,"- ИСУТС мнемосхема"
10024,899,UPDATED,"- ГД и АПС"
10152,900,UPDATED,"-Расход пресной воды."
10101,901,UPDATED,"- EVAC"
9897,902,UPDATED,"- Нанесение позывного"
9865,903,UPDATED,"Фундамент ГРЩ 440В"
10955,904,UPDATED,"Замена толщины стенок отводов и труб (из наличия у поставщиков)."
15880,905,UPDATED,"Установка ГРЩ"
11181,906,UPDATED,"Выпуск детальных чертежей"
9862,907,UPDATED,"03070-880-1002"
8747,908,UPDATED,"-"
12479,909,UPDATED,"актуален ли данный ч-ж для 404 и 405"
23175,911,UPDATED,"Согласование"
12484,912,UPDATED,"Откорректировать чертеж согласно замечаниям РС и согласовать в РС."
10258,913,UPDATED,"Видеонаблюдение"
14494,914,UPDATED,"- План балластировки"
9848,915,UPDATED,"Толщина стенки труб соединительных втулок."
15511,916,UPDATED,"монтаж теплого ящика"
11942,917,UPDATED,"Вентиляция в пом. сушилки"
17310,918,UPDATED,"Недопонимание по маркировки крышек горловин."
10115,919,UPDATED,"-корректировка чертежа"
11811,920,UPDATED,"-Узел крепления трубопроводов."
14638,921,UPDATED,"Установка гидравлического расходного бака в помещении АДГ"
15510,922,UPDATED,"Монтаж оборудования в помещении АДГ"
10072,923,UPDATED,"Оборудование в пом. цистерн краба, трюм."
10008,924,UPDATED,"Использование клюзов из наличия."
10942,925,UPDATED,"-Схема кантовки"
17598,926,UPDATED,"Маркировка горловин"
9868,927,UPDATED,"Расположение основного электрооборудования"
11453,928,UPDATED,"Аварийное осушение МО"
10200,929,UPDATED,"Разработка схемы окраски финишного настила грузового трюма 414"
